1417393440.00 -1199.17 -1599.07 2948.24 3561.90	1417393440 -1.19916E+03, -1.59907E+03,  2.94824E+03,  1.72800E+02
1417393500.00 -957.37 -1603.67 3018.66 3549.74	1417393500 -9.57369E+02, -1.60367E+03,  3.01866E+03,  1.60638E+02
1417393560.00 -712.29 -1602.80 3078.73 3543.29	1417393560 -7.12285E+02, -1.60280E+03,  3.07873E+03,  1.54187E+02
1417393620.00 -464.74 -1596.42 3128.17 3542.60	1417393620 -4.64733E+02, -1.59642E+03,  3.12818E+03,  1.53499E+02
1417393680.00 -215.57 -1584.54 3166.82 3547.68	1417393680 -2.15561E+02, -1.58454E+03,  3.16682E+03,  1.58579E+02
1417393740.00 34.37 -1567.24 3194.59 3558.48	1417393740  3.43716E+01, -1.56724E+03,  3.19459E+03,  1.69383E+02
1417393800.00 284.21 -1544.61 3211.46 3574.92	1417393800  2.84212E+02, -1.54461E+03,  3.21146E+03,  1.85823E+02
1417393860.00 533.12 -1516.80 3217.53 3596.86	1417393860  5.33123E+02, -1.51680E+03,  3.21753E+03,  2.07762E+02
1417393920.00 780.30 -1483.99 3212.98 3624.13	1417393920  7.80304E+02, -1.48399E+03,  3.21298E+03,  2.35029E+02
1417393980.00 1024.99 -1446.40 3198.03 3656.51	1417393980  1.02500E+03, -1.44640E+03,  3.19803E+03,  2.67414E+02
1417394040.00 1266.49 -1404.26 3173.02 3693.78	1417394040  1.26649E+03, -1.40426E+03,  3.17302E+03,  3.04677E+02
1417394100.00 1504.15 -1357.83 3138.31 3735.66	1417394100  1.50415E+03, -1.35783E+03,  3.13831E+03,  3.46559E+02
1417394160.00 1737.39 -1307.40 3094.31 3781.88	1417394160  1.73740E+03, -1.30740E+03,  3.09431E+03,  3.92778E+02
1417394220.00 1965.72 -1253.25 3041.49 3832.15	1417394220  1.96572E+03, -1.25325E+03,  3.04149E+03,  4.43047E+02
1417394280.00 2188.68 -1195.66 2980.33 3886.17	1417394280  2.18869E+03, -1.19566E+03,  2.98032E+03,  4.97068E+02
1417394340.00 2405.92 -1134.94 2911.32 3943.64	1417394340  2.40593E+03, -1.13494E+03,  2.91132E+03,  5.54544E+02
1417394400.00 2617.13 -1071.35 2834.98 4004.28	1417394400  2.61713E+03, -1.07135E+03,  2.83498E+03,  6.15181E+02
1417394460.00 2822.06 -1005.20 2751.81 4067.79	1417394460  2.82207E+03, -1.00520E+03,  2.75181E+03,  6.78692E+02
1417394520.00 3020.54 -936.73 2662.32 4133.90	1417394520  3.02054E+03, -9.36731E+02,  2.66232E+03,  7.44798E+02
1417394580.00 3212.43 -866.22 2567.01 4202.33	1417394580  3.21243E+03, -8.66219E+02,  2.56701E+03,  8.13232E+02
1417394640.00 3397.65 -793.91 2466.35 4272.84	1417394640  3.39765E+03, -7.93904E+02,  2.46634E+03,  8.83740E+02
1417394700.00 3576.15 -720.02 2360.79 4345.18	1417394700  3.57615E+03, -7.20016E+02,  2.36079E+03,  9.56081E+02
1417394760.00 3747.92 -644.77 2250.79 4419.13	1417394760  3.74792E+03, -6.44773E+02,  2.25079E+03,  1.03003E+03
1417394820.00 3912.99 -568.38 2136.75 4494.47	1417394820  3.91300E+03, -5.68375E+02,  2.13675E+03,  1.10537E+03
1417394880.00 4071.42 -491.01 2019.08 4571.02	1417394880  4.07142E+03, -4.91010E+02,  2.01907E+03,  1.18192E+03
1417394940.00 4223.26 -412.85 1898.13 4648.58	1417394940  4.22326E+03, -4.12851E+02,  1.89813E+03,  1.25948E+03
1417395000.00 4368.61 -334.06 1774.27 4726.98	1417395000  4.36861E+03, -3.34058E+02,  1.77427E+03,  1.33789E+03
1417395060.00 4507.58 -254.78 1647.81 4806.08	1417395060  4.50758E+03, -2.54777E+02,  1.64780E+03,  1.41698E+03
1417395120.00 4640.28 -175.14 1519.05 4885.73	1417395120  4.64028E+03, -1.75141E+02,  1.51905E+03,  1.49663E+03
1417395180.00 4766.83 -95.28 1388.29 4965.80	1417395180  4.76684E+03, -9.52750E+01,  1.38829E+03,  1.57670E+03
1417395240.00 4887.38 -15.29 1255.77 5046.16	1417395240  4.88738E+03, -1.52893E+01,  1.25577E+03,  1.65706E+03
1417395300.00 5002.06 64.71 1121.75 5126.70	1417395300  5.00206E+03,  6.47139E+01,  1.12175E+03,  1.73761E+03
1417395360.00 5111.01 144.64 986.44 5207.34	1417395360  5.11101E+03,  1.44642E+02,  9.86442E+02,  1.81824E+03
1417395420.00 5214.37 224.41 850.06 5287.97	1417395420  5.21437E+03,  2.24411E+02,  8.50059E+02,  1.89887E+03
1417395480.00 5312.28 303.94 712.79 5368.50	1417395480  5.31229E+03,  3.03944E+02,  7.12790E+02,  1.97940E+03
